T_ambiente_C,T_cabeza_C,P_cabeza,unidad_presion,flujo_bpd,P_cabeza_Pa,flujo_masico_kg_s,h_J_kg,s_J_kgK,h0_J_kg,s0_J_kgK,exergia_J_kg,Pmax_conceptual_kW,fase,exergy_status
23.77,56.65,31.315,psig,60.0,317234.32480437943,0.10875106290853825,237395.68690811255,788.7970264058627,99785.19555377155,349.9419351207518,7305.63764996588,0.794495859658425,liquid,ok
24.32,70.78,2.687,bar_abs,741.1,268700.0,1.3329088591810332,296478.7736945132,964.3595016040813,102085.49487677892,357.68197113482694,13924.913829045196,18.560641006066824,liquid,ok
23.58,91.01,3.067,barg,381.5,408025.0,0.677282992254943,381476.769570779,1204.0918220055137,98990.51054744057,347.264650409311,28239.93239559725,19.126425913967406,liquid,ok
27.63,79.33,28.478,psig,599.5,297673.89836366184,1.0726088401680414,332337.343958569,1067.26021152417,115926.18147351503,403.9530356598513,16901.63012858422,18.128837889169944,liquid,ok
26.41,88.74,3.632,bar_abs,665.1,363200.0,1.1826042325524508,371898.4029578654,1177.8347600855536,110825.32165457119,386.9597750484525,24158.570785580174,28.5700280634451,liquid,ok
26.93,58.17,34.347,psia,249.3,236814.2287484413,0.4514968308933748,243683.31349953858,808.0652842225386,112999.52993780829,394.21148889015075,6494.536658387355,2.932262719382739,liquid,ok
27.06,87.68,3.856,bar_abs,145.9,385600.0,0.2596142525705953,367461.11115100875,1165.4912030549158,113543.06516247874,396.02239772890084,22915.815941607085,5.9492724277256555,liquid,ok
23.21,68.93,1.996,barg,290.9,300925.0,0.5237718034310159,288758.06860085437,941.754365717976,97442.91112419915,342.045882156135,13585.551288268034,7.1157286988607105,liquid,ok
27.94,87.56,3.22,bar_abs,373.5,322000.0,0.6646400511261686,366907.3219545725,1164.1384846905667,117222.21154232568,408.25971380103016,22097.571285116283,14.686930908703841,liquid,ok
28.02,82.34,2.858,bar_abs,596.6,285800.0,1.0653404866283807,344957.3311755747,1102.9461349728108,117556.66528853422,409.3703761336645,18516.45459745478,19.72632875148479,liquid,ok
26.97,89.71,50.208,psia,778.6,346171.9741753789,1.3834762458723002,375962.7346123993,1189.0992293572046,113166.77225079371,394.76877750474637,24401.507151645812,33.75890550778504,liquid,ok
24.28,62.23,2.56,bar_abs,352.7,256000.0,0.637407457346147,260680.53320747806,858.9964630661173,101918.20552381311,357.1195594581527,9489.080243548087,6.048410510593544,liquid,ok
25.19,79.11,2.661,bar_abs,536.0,266100.0,0.9591169105634353,331389.37942043087,1064.662108855137,105723.84652628908,369.89510728032224,18388.745644311595,17.636956911508964,liquid,ok
22.79,72.9,2.091,barg,221.5,310425.0,0.39788539667532746,305393.18498147407,990.0753829793008,95686.08626217538,336.1136681834179,16173.668842605111,6.435266643135319,liquid,ok
25.13,92.89,3.347,bar_abs,249.6,334700.0,0.4425146517432745,389328.6058112866,1225.8061620560923,105472.93721342078,369.0540046899222,28303.635098684666,12.524773228763166,liquid,ok
23.42,79.5,29.327,psig,327.4,303527.5473055614,0.5857130672846232,333055.0899036375,1069.27891806035,98321.28735941213,345.0087151156557,19936.988456917403,11.67735466151922,liquid,ok
22.06,82.89,47.647,psia,529.7,328514.50074757566,0.9455555265311721,347299.6208652051,1109.4062021232203,92632.31895790936,325.78204703768665,23333.615084495395,22.06322869709574,liquid,ok
27.36,86.59,3.854,bar_abs,351.0,385400.0,0.6250325759175701,362881.36950128095,1152.7803266764718,114797.35224639071,400.19834389703476,21925.605609841616,13.704217752872031,liquid,ok
23.47,61.48,1.751,barg,936.8,276425.0,1.6937006407884783,257560.18032689867,849.6200454555876,98530.42106753055,345.71383053780556,9561.097790455591,16.19363745433594,liquid,ok
22.04,83.43,2.164,barg,469.0,317725.0,0.8368992362386686,349557.9237058482,1115.7754522182838,92548.64970435858,325.49861460684593,23727.454306969274,19.85748838739049,liquid,ok
23.23,73.65,42.499,psia,476.3,293020.29020234686,0.855194699430756,308521.4708516973,999.1570609368429,97526.56703086851,342.32815062697233,16323.951383189415,13.960156696668944,liquid,ok
24.69,83.92,2.103,barg,60.0,311625.0,0.10703097623428298,351610.2832111577,1121.5448103884098,103632.88412352731,362.88057170569124,22016.842238369485,2.3564841183688823,liquid,ok
23.79,62.64,36.001,psia,247.3,248218.15731134114,0.44682601532639366,262389.28922343027,864.1119499040627,99868.84551124541,350.22365120705746,9926.452297096112,4.435397126238982,liquid,ok
23.26,82.46,47.523,psia,867.4,327659.5508432229,1.548812637657939,345494.08300280606,1104.3344481081383,97652.05048364571,342.7515162467993,22101.23568614092,34.230673138551694,liquid,ok
23.09,92.3,2.058,barg,520.8,307125.0,0.9236989808173636,386825.09974644706,1219.0394485807253,96940.97110190884,340.35185573218286,29581.716139086057,27.32460104850235,liquid,ok
23.94,77.1,47.693,psia,243.8,328831.6595830614,0.43682100744741703,323010.58282795816,1040.624625840027,100496.21360532628,352.335895059735,18030.670195114944,7.876175519582225,liquid,ok
25.34,84.42,2.53,barg,237.5,354325.0,0.4235319152082249,353743.231865227,1127.3908164936543,106351.11257705642,371.99709968822856,21914.648758919095,9.281553159980552,liquid,ok
23.87,74.08,32.493,psig,287.2,325356.3488957314,0.5155395238445581,310349.4521365079,1004.3292797769913,100203.4432706169,351.35031886639206,16198.197896224825,8.35081123055967,liquid,ok
24.7,56.55,37.451,psia,274.8,258215.55538643477,0.49809185487043844,236927.57378433616,787.5591311789519,103674.70453201467,363.0209816789704,6804.181423751987,3.3891073462316075,liquid,ok
24.61,56.28,32.431,psia,670.8,223603.8737747314,1.2160117582549335,235769.34540404752,784.1513287178149,103298.31912210221,361.75711635476364,6698.925608723162,8.145972307882454,liquid,ok
26.12,78.85,2.712,bar_abs,494.4,271200.0,0.8848262937144581,330302.932536054,1061.5618587000893,109612.7342266584,382.9099194114663,17590.032438489376,15.564123208865645,liquid,ok
26.11,71.2,41.261,psia,736.6,284484.58067340485,1.3244966759675079,298250.7553690447,969.4615835463196,109570.92023621744,382.7701971237122,13106.570831997815,17.3596095003138,liquid,ok
26.22,73.51,2.402,barg,516.2,341525.0,0.9269338375518125,307974.14912756707,997.435174789979,110030.87180475077,384.3068777907907,14391.059050169337,13.339559591808205,liquid,ok
20.09,66.76,2.767,bar_abs,696.5,276700.0,1.255604986471331,279653.7405158589,915.1275391456084,84389.68677861519,297.76721358302103,14229.311869270663,17.86639493711194,liquid,ok
24.61,68.38,1.707,barg,600.6,272025.0,1.0817219988994486,286431.58344315755,935.0342932462991,103298.31912210221,361.75711635476364,12434.25212983173,13.450404068701305,liquid,ok
25.29,49.96,1.826,bar_abs,164.1,182600.0,0.29837233407404157,209315.86531285907,703.1977296037983,106142.0250359986,371.2965567717635,4121.254256868022,1.2296682519342914,liquid,ok
23.16,67.11,1.851,barg,746.9,286425.0,1.3462021369214947,281126.803013938,919.4298016043261,97233.77040471764,341.34012441574924,12599.280361473153,16.96117814628818,liquid,ok
26.49,53.63,1.543,barg,688.9,255625.0,1.2504654118014467,224718.09237329307,750.3700870963781,111159.82237742376,388.07626611954316,5000.549478370478,6.25301416270405,liquid,ok
26.01,97.88,39.677,psig,584.1,374888.28528985026,1.0318244779632728,410369.4173695468,1282.7866757316895,109152.7779908512,381.37270957524373,31549.63726333331,32.55368799916951,liquid,ok
26.07,65.69,1.988,barg,373.0,300125.0,0.6728312724044044,275194.68488559185,901.9180724847893,109403.66384958557,382.2112598596802,10284.34856232116,6.919631329036953,liquid,ok
23.41,82.1,39.366,psia,338.9,271419.01560285146,0.6052600626869139,343938.6629188396,1100.1213327778053,98279.46045756375,344.86767722564025,21681.1783707258,13.12275137979166,liquid,ok
29.03,81.75,3.43,bar_abs,690.3,343000.0,1.2331668042028536,342526.4724919969,1095.9364894583937,121778.9541485925,423.3665405496656,17510.331182164984,21.59315914444397,liquid,ok
26.49,67.88,1.602,barg,343.5,261525.0,0.6188414883767386,284329.6663315521,928.9067989379802,111159.82237742376,388.07626611954316,11115.383100411884,6.878660221736537,liquid,ok
24.83,91.31,3.934,bar_abs,464.1,393400.0,0.8237446506376513,382727.1680643209,1207.56567435729,104218.3654877413,364.84586785337325,27395.15463454253,22.566612083595672,liquid,ok
23.93,84.87,2.788,bar_abs,479.5,278800.0,0.8548018614038679,355573.5348115397,1132.724173343949,100454.38942575097,352.195113197374,23239.57219744427,19.865229572604942,liquid,ok
24.56,50.98,20.078,psig,420.0,239757.9371010506,0.7633191282094175,213628.09152650143,716.3439216424373,103089.21442497439,361.0547981938613,4765.7521596515,3.637789783767331,liquid,ok
25.97,79.67,43.689,psia,516.8,301225.05138121673,0.9244450463605249,333766.35866804636,1071.302072077121,108985.51989560714,380.81357975141094,18241.92094797283,16.863653456453775,liquid,ok
27.78,103.33,41.767,psig,544.4,389298.3280325714,0.9577579147274828,433361.7595945302,1344.2645489860056,116553.29715864552,406.037480653166,34467.79076248332,33.011799405939215,liquid,ok
24.09,68.71,22.807,psig,382.5,258573.72975410608,0.6887739276375255,287802.1946807318,939.0857300144038,101123.57017845823,354.44703394531706,12900.61848269825,8.885609661281329,liquid,ok
25.58,74.06,3.458,bar_abs,556.0,345800.0,0.9980714355910446,310282.1804675648,1004.0751801620104,107354.71704920476,375.35802038046245,15110.786276818253,15.08164415221345,liquid,ok
23.78,109.55,3.307,barg,1051.0,432025.0,1.840049368875035,459670.1564688548,1413.4552917725089,99827.02055845455,350.08279562319296,44095.94062878395,81.13870772394493,liquid,ok
26.34,57.3,37.19,psia,861.2,256416.0237329179,1.5603872902369371,240061.9485871222,797.0606182958052,110532.631353602,385.9825935032023,6415.559588383578,10.010757641471452,liquid,ok
25.18,58.1,32.297,psia,221.4,222679.97629744688,0.40098014684809885,243378.66475316958,807.1890362375059,105682.02842279301,369.75493564943633,7196.921101937769,2.885822480309188,liquid,ok
26.21,65.39,32.982,psia,595.1,227402.88504326696,1.0736081276596268,273878.97553903674,898.2523925580573,109989.0582367081,384.1672035869023,9993.375131923676,10.728968764384854,liquid,ok
24.51,91.56,53.667,psia,703.6,370020.93965244706,1.2486064398790848,383760.63552123285,1210.466802061728,102880.10851301074,360.3523579887039,27835.461585445824,34.75553659259454,liquid,ok
24.83,79.62,2.232,barg,805.3,324525.0,1.4405715289943404,333575.1824262111,1070.692243531047,104218.3654877413,364.84586785337325,19028.713914036518,27.41222349793947,liquid,ok
22.52,72.1,1.982,barg,514.4,299525.0,0.924466220685985,302032.88343309093,980.3859868034576,94556.6466128132,332.29547805501,15855.316098624258,14.657704151476825,liquid,ok
23.22,82.67,3.333,bar_abs,693.4,333300.0,1.237954353973149,346379.9627322874,1106.8085259345899,97484.7391047121,342.18701886430506,22284.347577155015,27.587005108590045,liquid,ok
23.22,71.36,43.165,psia,522.2,297612.1985595967,0.9388960229285347,298931.61557966267,971.3993512034028,97484.7391047121,342.18701886430506,14967.217539612175,14.05266102224808,liquid,ok
21.52,69.12,2.803,bar_abs,60.0,280300.0,0.10801844347040071,289536.7017506166,944.0915123350142,90373.1639693328,318.1223343950507,14709.20011771479,1.5888649014101865,liquid,ok
25.96,94.33,3.171,barg,687.1,418425.0,1.2169494104823202,395452.73845306004,1242.2670537376223,108943.70526443465,380.6737852537222,28797.87065240601,35.0455517135916,liquid,ok
26.47,50.7,2.116,bar_abs,218.5,211600.0,0.3971542661205114,212433.6140793899,712.7451392921433,111076.19744356345,387.79717212397384,3996.5067128994997,1.5872296906072982,liquid,ok
23.09,99.14,3.989,bar_abs,884.1,398900.0,1.560338277034648,415697.3308948275,1297.0548086438419,96940.97110190884,340.35185573218286,35342.67702236888,55.14653177087509,liquid,ok
24.38,81.9,51.4,psia,726.1,354390.5248688352,1.2970007460162793,343164.9746396858,1097.7021592397377,102336.4274192791,358.5254418688795,20901.29850105528,27.10899974857764,liquid,ok
25.65,68.4,39.908,psia,547.6,275155.97405574855,0.9862554010653193,286517.8891321743,935.2776228531305,107647.43016872859,376.337764061635,11859.229156546935,11.696228808115725,liquid,ok
27.56,76.09,35.749,psig,412.8,347805.6786422864,0.7400927341234339,318791.66503452195,1028.5060794523806,115633.52465424294,402.97992947145735,15056.171819515585,11.142963367337485,liquid,ok
23.38,54.43,2.375,bar_abs,60.0,237500.0,0.10886666860070998,228046.83507663236,760.6003036801753,98153.97943077271,344.44453393574383,6490.185243543383,0.7065648460660556,liquid,ok
27.23,79.77,2.089,barg,643.2,310225.0,1.150478847252825,334193.00990553724,1072.4849232330682,114253.83208179886,398.38929341091,17454.332537758484,20.080840377607856,liquid,ok
27.91,79.99,3.83,bar_abs,215.0,383000.0,0.3845248164002535,335173.8198718861,1075.0511006680595,117096.79079776815,407.8431373843106,17207.399647912505,6.616672190339343,liquid,ok
23.38,92.15,3.852,bar_abs,361.5,385200.0,0.6412540216333376,386254.0916774983,1217.2549661237754,98153.97943077271,344.44453393574383,29285.634790008626,18.779531085178217,liquid,ok
26.72,82.9,41.83,psig,433.5,389732.6977420409,0.7738479303217194,347389.9271934894,1109.4825992032386,112121.4973990444,391.2844697197323,19902.356706225924,15.401397545637524,liquid,ok
26.49,61.54,38.935,psia,500.9,268447.37520949607,0.9055770073524473,257804.49086136912,850.3743341053134,111159.82237742376,388.07626611954316,8121.675392689154,7.354802496799456,liquid,ok
26.65,83.28,2.467,barg,347.6,348025.0,0.6203391689422508,348952.12043991906,1113.9885284481927,111828.81596675857,390.30832806297644,20163.980397672683,12.50850684246011,liquid,ok
25.31,94.4,48.646,psia,530.5,335402.36328345054,0.9395043292256193,395683.95592847123,1243.1309042562873,106225.66018904785,371.5767884791913,29334.25434459129,27.55965895134895,liquid,ok
26.48,91.22,3.721,bar_abs,469.0,372100.0,0.832486094094707,382332.230043967,1206.542510765083,111118.00993102096,387.9367215189235,25935.36748111926,21.590832773267852,liquid,ok
24.09,85.76,2.335,barg,279.3,334825.0,0.49762222274965257,359355.3369794998,1143.1127954245947,101123.57017845823,354.44703394531706,23808.75585894112,11.847766011430094,liquid,ok
22.95,102.33,4.189,bar_abs,239.5,418900.0,0.4216790247896754,429164.1767195863,1333.0178474998747,96355.36440451325,338.37459028083276,38294.94385251473,16.148174578103784,liquid,ok
28.5,80.71,2.782,bar_abs,760.2,278200.0,1.3589130195370482,338111.11859556957,1083.6653957837893,119563.34064203242,416.0280045740011,17154.95889510456,23.312096992180482,liquid,ok
23.95,64.99,1.388,barg,565.7,240125.0,1.0208006266841798,272215.52252989676,893.2975304284483,100538.03773369717,352.47667201113086,10999.607760414598,11.228406495111388,liquid,ok
23.86,96.2,2.454,barg,408.3,346725.0,0.7221511642129828,403271.2552386378,1263.6914701223516,100161.61873141292,351.2095026139873,32093.367337565636,23.17626258633794,liquid,ok
23.23,90.96,47.977,psia,720.5,330789.7706543211,1.2791131123196129,381206.9037998962,1203.5705573506032,97526.56703086851,342.32815062697233,28425.312264277978,36.359189639017465,liquid,ok
24.77,78.21,3.391,bar_abs,642.4,339100.0,1.1502032203462382,327673.126702118,1053.8855487889523,103967.44604925357,364.00371501106787,18176.08473375716,20.906191194053587,liquid,ok
25.32,57.64,18.205,psig,823.0,226844.05669094692,1.4908971418335224,241458.63464611513,801.3759110294226,106267.47769721995,371.7168970620262,6950.8310500463995,10.362974145881878,liquid,ok
25.32,82.92,2.292,barg,363.2,330525.0,0.6483279434331758,347427.13486844103,1109.7585113987623,106267.47769721995,371.7168970620262,20876.376540135505,13.53473826860265,liquid,ok
24.34,72.13,2.093,barg,711.7,310625.0,1.279032150604988,302167.5802137575,980.7431947167287,102169.13925553669,357.96314761321275,14727.604745395918,18.837079970763966,liquid,ok
26.16,68.29,2.07,barg,696.8,308325.0,1.2550701053239048,286084.6012688076,933.9095932017069,109779.98976469731,383.46876046293977,11552.165857069893,14.498778018951928,liquid,ok
21.45,86.43,46.174,psia,527.0,318358.52325473924,0.9385115237023,362156.8295654345,1150.9584271101714,90080.29739180607,317.12833646892216,26430.187470716395,24.80503551487948,liquid,ok
23.08,79.13,2.939,bar_abs,597.2,293900.0,1.0686280486091957,331495.4453624405,1064.8820473931542,96899.14241067733,340.21065468829704,19926.896290803357,21.29444029807901,liquid,ok
24.89,68.99,41.689,psia,181.6,287435.53679488075,0.3269614511012377,288998.22831259685,942.4966597314744,104469.28321676141,365.68784540411355,12616.846073708817,4.125222300580789,liquid,ok
22.51,69.21,1.519,barg,379.3,253225.0,0.6828127054149111,289891.3607170309,945.2084185896782,94514.81471453895,332.15399394874703,14120.874813154223,9.641912733995113,liquid,ok
23.74,83.11,48.323,psia,818.8,333175.3566777572,1.4614129516630023,348226.78082534997,1111.995995873893,99659.72022793116,349.51932409718927,22195.361513633252,32.436588782866174,liquid,ok
24.8,82.02,53.256,psia,139.7,367187.194404955,0.2495219560800668,343678.7010803318,1099.1117037330014,104092.90598273076,364.4248133499235,20685.836107962998,5.161570288810603,liquid,ok
24.89,81.78,3.407,bar_abs,332.7,340700.0,0.594330210092826,342650.5463244389,1096.2927522450568,104469.28321676141,365.68784540411355,20431.77667280275,12.14322212251656,liquid,ok
29.08,76.75,28.242,psig,682.1,296046.73564247414,1.222379950140314,321516.8776611162,1036.453982571337,121987.96955869226,424.0581750712238,14444.523201664735,17.65669555105155,liquid,ok
24.19,97.4,2.668,barg,654.4,368125.0,1.1564165738722085,408342.0171832733,1277.3378864792196,101541.80156453229,355.85384678853006,32806.1512571114,37.937577038682214,liquid,ok
23.15,92.64,3.963,bar_abs,429.3,396300.0,0.761261703870392,388324.0316886989,1222.886075005294,97191.94209712384,341.1989580243699,29888.1968301273,22.75273964451636,liquid,ok
24.56,45.0,18.179,psig,392.3,226664.79300132458,0.7148650546801271,188626.942756727,638.5316804599402,103089.21442497439,361.0547981938613,2930.085712318265,2.0946158829538555,liquid,ok
23.99,76.85,1.882,barg,448.6,289525.0,0.8038760215754321,321930.8911827287,1037.6561838363832,100705.33373600412,353.03973071659965,17798.624566712097,14.307887506203269,liquid,ok
26.13,72.4,1.948,barg,501.2,296125.0,0.9005808061293369,303286.86583910114,984.026589186117,109654.5481746891,383.04963688881816,13771.935380876472,12.40274066727087,liquid,ok
23.88,83.57,49.538,psia,157.0,341552.48678895633,0.28013320905864414,350164.4378251104,1117.4071413069391,100245.26775831592,351.4911302045054,22419.137289038597,6.280344873104694,liquid,ok
26.88,88.19,45.409,psia,464.8,313084.0339254657,0.8267472549052706,369547.8590286384,1171.4780303862517,112790.47615991461,393.5147706938512,23345.06606321287,19.300469283343432,liquid,ok
25.42,92.92,47.521,psig,646.3,428970.76149746,1.145849235163658,389527.1628415035,1226.081290897293,106685.65028210224,373.11771640049324,28172.178121891775,32.281068753864034,liquid,ok
22.78,79.7,2.609,barg,300.8,362225.0,0.5380718403551569,333940.7899627032,1071.6185960354067,95644.25590162547,335.9723183581041,20596.731108033593,11.082521012599946,liquid,ok
22.44,74.25,2.007,barg,473.1,302025.0,0.8491432842079736,311042.9655506782,1006.3949320692308,94221.98981109694,331.1634657293249,17229.306604168523,14.630149994489788,liquid,ok
24.57,78.38,35.4,psig,60.0,345399.40834697074,0.10741746692733163,328391.0714392499,1055.9099631701336,103131.03546142096,361.195271587713,18429.577999910747,1.9796585852900914,liquid,ok
24.21,98.67,44.864,psig,551.6,410651.39136951265,0.9738590459318726,413725.339034576,1291.7216124873846,101625.44723871278,356.1351505524875,33893.90147490235,33.00788255325729,liquid,ok
25.27,95.61,39.774,psig,225.7,375557.07674728753,0.3993677701409656,400808.67052768363,1256.9375299764836,106058.38970040808,371.01630567226624,30373.669070411066,12.130264487649681,liquid,ok
27.82,87.37,41.015,psig,106.8,384113.470548109,0.19007988089961725,366157.3809735232,1161.880769430648,116720.52662154744,406.59315256927914,22117.94030520963,4.204175458959091,liquid,ok
24.11,85.3,2.366,barg,471.7,337925.0,0.8406778750945054,357425.76914735604,1137.7242337995688,101207.21685882466,354.72843572967054,23465.22135427344,19.726692426732807,liquid,ok
24.19,96.66,4.081,bar_abs,404.8,408100.00000000006,0.7157411627076122,405255.2024782143,1268.8867815425288,101541.80156453229,355.85384678853006,32232.188093928038,23.06990378295851,liquid,ok
23.76,78.77,2.456,barg,484.4,346925.0,0.8670034428957779,330027.87025185034,1060.559137137273,99743.37049715141,349.8010696992532,19253.32195167654,16.692696419284417,liquid,ok
25.23,45.0,27.143,psia,447.7,187144.39720845904,0.8158030093751953,188592.39440651404,638.5485290732896,105891.11848033725,370.4557452824224,2707.751098657842,2.2089914949240588,liquid,ok
23.54,94.0,3.616,bar_abs,609.7,361600.0,1.0800901784273225,394020.346215697,1238.5281375473476,98823.20602377508,346.70078493821666,30600.88294631883,33.051713121523115,liquid,ok
24.7,80.09,2.328,barg,416.8,334125.0,0.7453770217421793,335554.4254145655,1076.2711069129266,103674.70453201467,363.0209816789704,19438.17108161698,14.488766068930621,liquid,ok
21.73,57.06,30.104,psia,533.1,207559.77355352946,0.9660071364141725,239017.08786060792,794.0477368985605,91251.74543015387,321.1028500412184,8303.354193960986,8.021099407540861,liquid,ok
22.81,84.04,3.678,bar_abs,461.1,367800.0,0.8224890204675335,352158.3215270515,1122.917110189445,95769.74681440205,336.39635293509787,23609.89139565287,19.418876447355373,liquid,ok
25.01,84.82,2.28,barg,784.6,329325.0,1.3987815193967628,355403.2360941999,1132.1027956850096,104971.11358150962,367.3712750309226,22419.7723144677,31.360363182560608,liquid,ok
26.5,79.5,3.583,bar_abs,93.7,358300.0,0.16763193287011852,333098.7406060032,1069.242941866967,111201.634782808,388.21580592627555,17827.324538567045,2.9884288703028874,liquid,ok
26.73,88.86,3.139,bar_abs,554.3,313900.0,0.9854879291632417,372364.51373180456,1179.2635038200565,112163.30887127263,391.42389938953585,23943.864283907373,23.596389229313584,liquid,ok
28.62,75.28,45.308,psia,610.8,312387.6634388557,1.0956087613209076,315367.98083547095,1018.7956358098854,120064.99713738484,417.69071546235926,13907.551884813176,15.237235693526419,liquid,ok
24.08,69.87,40.838,psia,429.0,281568.0983383948,0.7719958750527385,292678.27688345587,953.2563327536565,101081.74676245164,354.3063256975982,13570.61952373205,10.476462294231302,liquid,ok
24.77,79.8,3.315,bar_abs,462.7,331500.0,0.8276143398574484,334335.7972152188,1072.8274798979548,103967.44604925357,364.00371501106787,19195.575130863872,15.886533240113957,liquid,ok
27.58,73.05,2.147,barg,163.2,316025.0,0.29313410692507913,306026.1710406555,991.8875873718549,115717.14107344834,403.25798353915127,13290.44920659822,3.8958839588092955,liquid,ok
24.93,79.76,35.061,psig,331.0,343062.0856245868,0.5920657372243185,334177.2119897327,1072.344438444902,104636.56075741033,366.2490664364843,19067.74274405325,11.289357164961537,liquid,ok
24.0,71.3,26.645,psig,295.8,285035.8082452849,0.5318531762931369,298670.0553282807,970.6774251252006,100747.15760899958,353.1804831203066,14433.681402526912,7.676599299537117,liquid,ok
21.63,69.36,41.034,psia,399.8,282919.4707678557,0.7196636562798244,290543.78118961304,947.0250147137181,90833.3767077691,319.6838332295998,14782.771003955568,10.638623030654035,liquid,ok
23.62,88.57,53.409,psia,333.2,368242.0922708097,0.5925287045126686,371187.8039213916,1175.8562999445555,99157.81422689417,347.8284370300915,26296.160817371943,15.581230102774194,liquid,ok
23.74,100.55,2.752,barg,130.9,376525.0,0.23077736141567645,421624.78118810046,1313.0089042206737,99659.72022793116,349.51932409718927,35914.63951730804,8.288285743999534,liquid,ok
27.33,81.8,43.451,psia,199.0,299584.0991454428,0.35547918475410495,342701.91741577967,1096.556810118358,114671.92508660439,399.78094207705965,18662.779500125966,6.634229641950401,liquid,ok
23.5,97.18,61.164,psia,868.1,421710.93507932755,1.5343426436330398,407455.8252674096,1274.795002449698,98655.90065309072,346.13684058608357,33313.48089747771,51.11429434885473,liquid,ok
23.76,86.74,54.364,psia,822.5,374826.5854857851,1.4644855905322873,363503.2598819141,1154.5390558923139,99743.37049715141,349.8010696992532,24825.13390418113,36.35605088570781,liquid,ok
27.13,76.96,3.318,bar_abs,797.4,331800.0,1.4288433266501204,322426.00145374023,1038.946546592804,113835.7352461172,396.99716861601297,15825.706988752238,22.612455820398804,liquid,ok
25.15,84.97,2.28,barg,624.6,329325.0,1.1134225221271346,356033.1466395441,1133.8621012298802,105556.57383570907,369.3343916365865,22417.957032155566,24.960658259680383,liquid,ok
22.15,54.51,2.24,bar_abs,463.2,224000.00000000003,0.840412904464566,228369.76447304775,761.6277770299598,93008.82764744539,327.0572454003696,7032.258835384404,5.910001072792013,liquid,ok
23.91,73.44,40.674,psia,563.9,280437.35814231524,1.012602933752672,307631.36180612986,996.6268423921833,100370.74091281666,351.91353473786273,15742.085721520707,15.940482184997919,liquid,ok
25.46,79.4,30.393,psig,533.9,310877.3585800785,0.9552022723391427,332641.48791882786,1068.084472007829,106852.9180504714,373.67790853227064,18431.825948920014,17.60612202976797,liquid,ok
23.93,78.78,1.722,barg,236.9,273525.0,0.4239985575688873,330011.19823775603,1060.7261938950026,100454.38942575097,352.195113197374,19066.39535835359,8.08412412998005,liquid,ok
26.2,72.47,1.975,barg,949.2,298825.0,1.7054999025718491,303582.3089908497,984.8734953317464,109947.24462659576,384.02752457664235,13771.823018713563,23.48784281665273,liquid,ok
25.22,69.9,2.346,bar_abs,311.0,234600.0,0.5596304042055522,292765.4879992006,953.6505781925421,105849.30056073524,370.31559305919296,12866.527924227965,7.200500222957721,liquid,ok
24.65,73.32,46.682,psia,375.3,321861.05995966855,0.6739928030266031,307162.13694338995,995.1502855283386,103465.60200859167,362.3188830508128,15239.34327699113,10.271207691543871,liquid,ok
25.51,88.6,51.013,psia,138.0,351722.25379637914,0.24539806569055195,371301.05858397635,1176.2166442755927,107062.00174956454,374.3780397948398,24761.939220190194,6.076531987381688,liquid,ok
