T_ambiente_C,T_cabeza_C,flujo_volumetrico_gpm,P_real_ORC_kW,flujo_masico_kg_s
27.14,64.11,9.08,1.68,0.6301448816432
20.82,73.02,58.77,18.07,4.078591926670801
23.15,72.47,95.57,34.18,6.632483076942799
24.95,84.91,17.75,9.21,1.23183608471
22.32,71.87,88.09,29.97,6.1133769409636
25.6,72.93,53.15,20.97,3.688568332526
23.78,83.68,42.32,21.23,2.9369748228128003
23.65,86.22,39.3,17.56,2.727389190372
20.88,75.88,69.51,28.79,4.8239395069404
26.84,65.23,45.35,8.66,3.147254447414
26.96,89.45,61.56,32.66,4.2722157394224
24.83,56.68,102.24,13.09,7.0953758479296
29.4,80.49,34.44,17.38,2.3901090004176
24.08,83.77,49.84,27.53,3.4588569274336005
22.59,70.46,8.0,1.0,0.55519372832
23.24,66.81,59.71,13.17,4.1438271897484
28.53,77.2,51.69,16.98,3.5872454771076003
23.73,88.76,92.8,48.88,6.440247248512001
21.13,86.91,92.8,51.13,6.440247248512001
26.81,74.96,47.64,17.04,3.3061786521456007
27.24,75.22,64.47,22.32,4.4741674580988
24.85,72.84,75.63,25.23,5.2486627091052
26.3,76.1,38.68,9.41,2.6843616764272
25.35,95.45,41.82,27.66,2.9022752147928
23.06,92.43,8.0,8.65,0.55519372832
28.53,74.08,93.6,28.43,6.495766621344
25.08,71.83,87.12,27.39,6.0460597014048005
25.68,65.27,60.05,9.87,4.167422923202
27.15,64.8,99.03,23.61,6.872604364441201
20.1,85.32,77.57,39.69,5.383297188222799
26.84,82.24,76.42,35.19,5.3034880897768
21.35,70.9,44.44,18.98,3.0841011608176
20.02,71.99,61.1,24.16,4.240292100044
23.55,68.87,90.82,23.58,6.3028368007528
24.1,88.26,100.57,54.91,6.9794791571428005
23.29,88.15,75.44,38.66,5.2354768580576
25.38,88.48,105.91,57.6,7.3500709707964
21.56,73.01,71.52,23.74,4.963431931180801
24.94,73.28,62.72,22.98,4.3527188300288
23.34,109.69,91.27,71.13,6.3340664479708
25.24,79.78,79.18,31.59,5.4950299260472
21.96,79.48,69.46,32.17,4.8204695461383995
22.48,87.23,71.57,38.39,4.9669018919828005
21.57,50.08,141.36,10.47,9.810273179414402
25.05,88.83,77.59,43.48,5.3846851725436
21.4,71.1,61.41,19.43,4.2618058570164
23.6,65.92,45.92,14.39,3.1868120005568
26.84,63.54,46.72,4.63,3.2423313733888
24.21,67.53,40.76,7.35,2.8287120457904
25.82,72.27,125.15,42.02,8.685311887406
23.42,76.35,41.0,15.99,2.8453678576400003
21.7,83.75,37.43,23.57,2.5976126563772
24.53,74.52,8.45,3.23,0.5864233755380001
24.55,98.87,109.62,72.42,7.6075420623048
21.84,84.19,43.68,24.99,3.0313577566272003
24.01,77.15,54.88,22.44,3.8086289762752
23.55,77.51,45.94,20.11,3.1881999848776004
28.18,99.62,53.34,36.88,3.7017541835736005
24.7,75.44,82.79,31.55,5.7455610959516
24.85,74.55,85.69,31.29,5.946818822467601
24.87,67.89,90.43,29.07,6.275771106497201
21.67,71.69,71.04,23.01,4.930120307481601
25.71,66.14,78.17,19.36,5.4249367178468
22.72,73.24,90.87,26.78,6.306306761554801
25.76,86.09,46.89,25.25,3.2541292401156
24.51,81.3,114.34,48.39,7.9351063620136
28.18,100.31,117.43,75.0,8.1495499395772
21.56,76.13,79.81,35.41,5.5387514321524005
22.96,58.76,107.46,21.2,7.4576397556584
22.25,55.13,131.5,12.93,9.125996909260001
23.34,63.08,86.86,20.43,6.0280159052344
27.8,79.8,62.03,28.62,4.3048333709612
20.48,94.13,60.99,36.04,4.2326581862796
21.44,60.14,41.59,4.55,2.8863133951036004
23.61,66.48,44.46,9.55,3.0854891451384
24.59,68.47,41.14,7.44,2.8550837478856
24.72,73.98,57.39,21.37,3.9828210085356
26.71,92.15,63.63,39.98,4.4158721166252
25.85,71.45,91.58,28.84,6.355580204943199
24.09,86.62,96.95,51.25,6.728253995078001
26.75,80.52,62.24,27.64,4.3194072063296005
22.41,84.81,43.03,22.45,2.9862482662012
23.13,79.46,91.32,38.73,6.3375364087728
20.15,79.94,101.64,50.04,7.0537363183056
22.36,84.21,86.03,42.11,5.9704145559212
26.61,100.81,86.44,56.78,5.998868234497601
23.48,86.57,80.27,36.71,5.5706750715308
24.76,79.1,72.61,33.72,5.0390770766644
22.14,86.64,48.66,24.04,3.3769658525064
22.89,71.97,76.13,28.7,5.283362317125199
23.63,92.43,63.26,40.89,4.3901944066904
20.46,82.97,76.72,36.61,5.3243078545888
19.12,57.9,64.47,7.42,4.4741674580988
25.82,68.43,27.42,6.67,1.9029265038168002
